ID; Aktywny (0/1); Nazwa; Kategoria (x,y,z...);Cena zawiera podatek. (brutto); ID reguły podatku; W sprzedaży (0 lub 1); Widoczność (0/1); Ilość; Opis; Podsumowanie; Adresy URL zdjęcia (x,y,z...); Kod dostawcy;
110; 1; Kurs Tworzenie aplikacji na iOS w praktyce; Języki programowania, Tworzenie aplikacji mobilnych, Foundation, Google Firebase, iOS, Swift, Xcode, Języki programowania; 79; 1; 1; 1; 500; Naucz się technik tworzenia aplikacji iOS na przykładzie realnych i praktycznych projektów. Dowiedz się jak programować responsywne aplikacje na urządzenia mobilne od Apple.; Naucz się technik tworzenia aplikacji iOS na przykładzie realnych i praktycznych projektów. Dowiedz się jak programować responsywne aplikacje na urządzenia mobilne od Apple.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_tworzenie_aplikacji_na_ios_w_praktyce.jpg; 1,2; 0
111; 1; Fundamenty programowania w języku Swift; Języki programowania, Tworzenie aplikacji mobilnych, Foundation, iOS, Swift, Xcode, Języki programowania; 59; 1; 1; 1; 500; Poznaj od podstaw język Swift niezbędny do tworzenia aplikacji dla platformę iOS. Zdobądź umiejętności, które pozwolą Ci kodować własne aplikacje.; Poznaj od podstaw język Swift niezbędny do tworzenia aplikacji dla platformę iOS. Zdobądź umiejętności, które pozwolą Ci kodować własne aplikacje.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/fundamenty_programowania_w_jezyku_swift.jpg; 1,2; 0
112; 1; Kurs Laravel od podstaw - programowanie aplikacji w PHP; Języki programowania, Laravel, PHP, Języki programowania; 119; 1; 1; 1; 500; Opanuj pracę z Laravel i twórz aplikacje w najlepszym frameworku PHP.; Opanuj pracę z Laravel i twórz aplikacje w najlepszym frameworku PHP.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_laravel_od_podstaw_-_programowanie_aplikacji_w_php.jpg; 1,2; 0
113; 1; Kurs Machine Learning w Python - wprowadzenie do sztucznej inteligencji; Języki programowania, Python, Języki programowania; 149; 1; 1; 1; 500; Dowiedz się jak w praktyczny sposób wejść w świat Machine Learning w Python, rozwiązywać problemy za pomocą sztucznej inteligencji, wykorzystywać zbiory danych, testować modele uczenia maszynowego.; Dowiedz się jak w praktyczny sposób wejść w świat Machine Learning w Python, rozwiązywać problemy za pomocą sztucznej inteligencji, wykorzystywać zbiory danych, testować modele uczenia maszynowego.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_machine_learning_w_python_-_wprowadzenie_do_sztucznej_inteligencji.jpg; 1,2; 0
114; 1; Kurs Data Science w Python - wprowadzenie do analizy danych; Języki programowania, Python, Języki programowania; 149; 1; 1; 1; 500; Dowiedz się jak wykorzystać wszechstronność Pythona w analizie danych. Poznaj narzędzia, które pozwolą Ci pewnym krokiem wejść w świat Data Science. ; Dowiedz się jak wykorzystać wszechstronność Pythona w analizie danych. Poznaj narzędzia, które pozwolą Ci pewnym krokiem wejść w świat Data Science. ; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_data_science_w_python_-_wprowadzenie_do_analizy_danych.jpg; 1,2; 0
115; 1; Kurs JAVA dla zielonych; Języki programowania, JAVA, Android, Języki programowania; 99; 1; 1; 1; 500; Naucz się języka JAVA od „zera” - do płynnego poruszania się w instrukcjach, metodach oraz klasach i obiektach!; Naucz się języka JAVA od „zera” - do płynnego poruszania się w instrukcjach, metodach oraz klasach i obiektach!; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_java_dla_zielonych.jpg; 1,2; 0
116; 1; Fundamenty programowania w języku Go; Języki programowania, Języki programowania; 99; 1; 1; 1; 500; Naucz się programować w języku, który umożliwia łatwe tworzenie wydajnych i niezawodnych aplikacji. Zdobądź wiedzę, która pozwoli Ci swobodnie pisać kod w języku Go.; Naucz się programować w języku, który umożliwia łatwe tworzenie wydajnych i niezawodnych aplikacji. Zdobądź wiedzę, która pozwoli Ci swobodnie pisać kod w języku Go.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_fundamenty_programowania_w_jezyku_go.jpg; 1,2; 0
117; 1; Fundamenty Test Driven Development; Języki programowania, JAVA, IntelliJ IDEA, Języki programowania; 89; 1; 1; 1; 500; Zrozum koncepcję metodyki TDD i ideę programowania sterowanego testami. Wykorzystaj zdobytą wiedzę, by tworzyć wysokiej jakości kod, który będzie wolny od błędów i łatwy w utrzymaniu.; Zrozum koncepcję metodyki TDD i ideę programowania sterowanego testami. Wykorzystaj zdobytą wiedzę, by tworzyć wysokiej jakości kod, który będzie wolny od błędów i łatwy w utrzymaniu.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/fundamenty_test_driven_development.jpg; 1,2; 0
118; 1; Jak zostać developerem JAVA; Języki programowania, Tworzenie aplikacji mobilnych, JAVA, Języki programowania; 119; 1; 1; 1; 500; Dowiedz się co oprócz umiejętności programowania jest niezbędne, aby zostać programistą JAVA; Dowiedz się co oprócz umiejętności programowania jest niezbędne, aby zostać programistą JAVA; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/jak_zostac_java_developerem.jpg; 1,2; 0
119; 1; Projektowanie RESTful API - dobre praktyki; Języki programowania, GIT, JAVA, IntelliJ IDEA, Języki programowania; 99; 1; 1; 1; 500; Dowiedz się jak krok po kroku od podstaw stworzyć REST API najwyższej klasy. Poznaj dobre praktyki i metody implementacji z wykorzystaniem popularnego frameworka Spring Boot.; Dowiedz się jak krok po kroku od podstaw stworzyć REST API najwyższej klasy. Poznaj dobre praktyki i metody implementacji z wykorzystaniem popularnego frameworka Spring Boot.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/projektowanie_restful_api_dobre_praktyki.jpg; 1,2; 0
120; 1; Kurs PostgreSQL - administracja bazami danych; Bazy danych, SQL, Linux, Ubuntu; 99; 1; 1; 1; 500; Naucz się administracji relacyjnymi bazami danych i wykorzystaj możliwości PostgreSQL - jednego z najlepszych i darmowych rozwiązań na rynku; Naucz się administracji relacyjnymi bazami danych i wykorzystaj możliwości PostgreSQL - jednego z najlepszych i darmowych rozwiązań na rynku; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/postgresql_administracja_bazamin_danych.jpg; 1,2; 0
121; 1; Kurs Microsoft SQL Server - od podstaw; Bazy danych, SQL; 89; 1; 1; 1; 500; Opanuj pracę w Microsoft SQL Server od podstaw. Dowiedz się jak projektować bazy danych z Management Studio i T-SQL. Naucz się nimi zarządzać i wykorzystywać w różnych środowiskach.; Opanuj pracę w Microsoft SQL Server od podstaw. Dowiedz się jak projektować bazy danych z Management Studio i T-SQL. Naucz się nimi zarządzać i wykorzystywać w różnych środowiskach.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/microsoft_sql_server_od_podstaw.jpg; 1,2; 0
122; 1; Kurs Linux dla web developera; Bazy danych, DevOps, Linux; 99; 1; 1; 1; 500; Automatyzuj zadania, wdrażaj aplikacje na serwer, zapewniaj im bezpieczeństwo oraz stabilność. Rozwijaj aplikacje nie wykonując żmudnych czynności administracyjnych; Automatyzuj zadania, wdrażaj aplikacje na serwer, zapewniaj im bezpieczeństwo oraz stabilność. Rozwijaj aplikacje nie wykonując żmudnych czynności administracyjnych; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/linux_dla_web_developera.jpg; 1,2; 0
123; 1; Kurs Csharp - programowanie w LINQ; Bazy danych, SQL, Csharp; 99; 1; 1; 1; 500; Ułatw sobie pracę z kolekcjami danych z LINQ! Opanuj tworzenie podstawowych i zaawansowanych zapytań, sortuj, filtruj, grupuj i agreguj dane z różnych źródeł; Ułatw sobie pracę z kolekcjami danych z LINQ! Opanuj tworzenie podstawowych i zaawansowanych zapytań, sortuj, filtruj, grupuj i agreguj dane z różnych źródeł; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/c_sharp_programowanie_w_linq.jpg; 1,2; 0
124; 1; Kurs JAVA Hibernate - aplikacje bazodanowe; Bazy danych, JAVA; 99; 1; 1; 1; 500; Twórz aplikacje bazodanowe w JAVA dzięki frameworkowi Hibernate. Wykorzystuj obiektowy język zapytań HQL i twórz zaawansowane relacje; Twórz aplikacje bazodanowe w JAVA dzięki frameworkowi Hibernate. Wykorzystuj obiektowy język zapytań HQL i twórz zaawansowane relacje; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_java_hibernate_aplikacje_bazodanowe.jpg; 1,2; 0
125; 1; Kurs Bazy danych MySQL od podstaw; Bazy danych, SQL, PHP, phpMyAdmin; 89; 1; 1; 1; 500; Poznaj krok po kroku system baz danych, który jest podstawą dynamicznych aplikacji webowych.; Poznaj krok po kroku system baz danych, który jest podstawą dynamicznych aplikacji webowych.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/435_kurs_mysql.jpg; 1,2; 0
126; 1; Jak zostać Full Stack Developerem; Bazy danych, GIT, Angular, CSS, SQL, Node.js, HTML, Bootstrap, PHP, GitHub, JavaScript, JSON, phpMyAdmin; 119; 1; 1; 1; 500; Wszystko czego potrzebujesz aby zostać Full-Stack Developerem; Wszystko czego potrzebujesz aby zostać Full-Stack Developerem; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Full_stack_developer.jpg; 1,2; 0
127; 1; Kurs MongoDB - nowoczesne bazy danych; Bazy danych, MongoDB; 79; 1; 1; 1; 500; Poznaj nową generację baz danych; Poznaj nową generację baz danych; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-MongoDB-nowoczesne-bazy-danych.jpg; 1,2; 0
128; 1; Kurs PHP 7 - od podstaw; Bazy danych, PHP; 99; 1; 1; 1; 500; Poznaj najnowszą odsłonę niezwykle popularnego języka do tworzenia aplikacji internetowych; Poznaj najnowszą odsłonę niezwykle popularnego języka do tworzenia aplikacji internetowych; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-PHP-7-od-podstaw.jpg; 1,2; 0
129; 1; Kurs C++ aplikacje bazodanowe; Bazy danych, C++, SQL; 129; 1; 1; 1; 500; Zdobądź umiejętności, z którymi przyspieszysz swoją karierę programisty C++; Zdobądź umiejętności, z którymi przyspieszysz swoją karierę programisty C++; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Cpp-tworzenie-aplikacji-bazodanowych.jpg; 1,2; 0
130; 1; Kurs SQL nowoczesne bazy danych; Bazy danych, C++, SQL, Csharp, PHP; 99; 1; 1; 1; 500; Naucz się programować nowoczesne, wydajne i bezpieczne bazy danych; Naucz się programować nowoczesne, wydajne i bezpieczne bazy danych; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-SQL-nowoczesne-bazy-danych.jpg; 1,2; 0
131; 1; Kurs Github - zdalne repozytoria od podstaw; DevOps, GitHub; 79; 1; 1; 1; 500; Naucz sprawnej pracy z kodem wykorzystując GitHub. Dowiedz się jak zarządzać repozytoriami, tworzyć dokumentację projektów i wiele więcej.; Naucz sprawnej pracy z kodem wykorzystując GitHub. Dowiedz się jak zarządzać repozytoriami, tworzyć dokumentację projektów i wiele więcej.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_github_-_zdalne_repozytoria_od_podstaw.jpg; 1,2; 0
132; 1; Kurs Ethical Hacking i cyberbezpieczeństwo od podstaw; DevOps, Linux; 119; 1; 1; 1; 500; Naucz się technik etycznego hakowania. Dowiedz się jak wykonywać testy penetracyjne i skutecznie zabezpieczyć swoją sieć i urządzenia.; Naucz się technik etycznego hakowania. Dowiedz się jak wykonywać testy penetracyjne i skutecznie zabezpieczyć swoją sieć i urządzenia.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_ethical_hacking_i_cyberbezpieczenstwo_od_podstaw.jpg; 1,2; 0
133; 1; Kurs Docker dla zaawansowanych; DevOps, Visual Studio Code, Docker; 99; 1; 1; 1; 500; Opanuj zaawansowane techniki pracy z Dockerem i zdobądź umiejętności niezbędne do sprawnej implementacji procesów CI/CD.; Opanuj zaawansowane techniki pracy z Dockerem i zdobądź umiejętności niezbędne do sprawnej implementacji procesów CI/CD.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_docker_dla_zaawansowanych.jpg; 1,2; 0
134; 1; Kurs Linux Ubuntu od podstaw; DevOps, Linux, Ubuntu, Poradniki, Obsługa komputera; 99; 1; 1; 1; 500; Dowiedz się jak prosto i szybko zmienić swój obecny system na Ubuntu. Naucz się podstaw obsługi Linuxa i opanuj pracę w konsoli.; Dowiedz się jak prosto i szybko zmienić swój obecny system na Ubuntu. Naucz się podstaw obsługi Linuxa i opanuj pracę w konsoli.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_ubuntu_od_podstaw.jpg; 1,2; 0
135; 1; Kurs PowerShell dla administratora Windows; DevOps, Windows Server; 119; 1; 1; 1; 500; Opanuj linię komend i naucz się automatyzować powtarzalne zadania w systemie Windows wykorzystując możliwości PowerShell.; Opanuj linię komend i naucz się automatyzować powtarzalne zadania w systemie Windows wykorzystując możliwości PowerShell.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_powershell_dla_administratora_windows.jpg; 1,2; 0
136; 1; Kurs Podstawy Networkingu oraz konfiguracji sieci w Linux; DevOps; 129; 1; 1; 1; 500; Dowiedz się wszystkiego na temat konfiguracji sieci w Linuxie. Zdobądź praktyczną wiedzę na temat networkingu, niezbędną w pracy administratora oraz inżyniera sieci.; Dowiedz się wszystkiego na temat konfiguracji sieci w Linuxie. Zdobądź praktyczną wiedzę na temat networkingu, niezbędną w pracy administratora oraz inżyniera sieci.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_podstawy_networkingu_oraz_konfiguracji_sieci_w_linux.jpg; 1,2; 0
